age_group,gender,nationality,fastest_finish_time_secs
40-44,F,KEN,8601
40-44,F,ETH,8652
45-49,F,AUS,8680
40-44,F,KEN,8681
40-44,F,KEN,8721
40-44,F,ECU,8878
40-44,F,USA,8878
40-44,F,USA,8907
40-44,F,AUS,8914
40-44,F,CAN,8922
40-44,F,USA,8972
40-44,F,NAM,9053
40-44,F,SWE,9073
40-44,F,UKR,9155
40-44,F,IRL,9207
40-44,F,NAM,9213
40-44,F,IRL,9244
40-44,F,USA,9345
40-44,F,KEN,9349
40-44,F,GBR,9399
40-44,F,USA,9401
40-44,F,DEN,9412
40-44,F,FRA,9432
40-44,F,MEX,9477
40-44,F,GBR,9482
40-44,F,MEX,9484
45-49,F,NED,9487
40-44,F,GBR,9520
40-44,F,KEN,9532
45-49,F,IRL,9549
40-44,F,CAN,9577
40-44,F,MEX,9578
40-44,F,USA,9578
45-49,F,GBR,9582
45-49,F,JPN,9586
45-49,F,USA,9599
40-44,F,GER,9612
45-49,F,KEN,9620
40-44,F,POR,9623
40-44,F,IRL,9630
40-44,F,CHI,9647
40-44,F,LBN,9660
45-49,F,USA,9665
40-44,F,GER,9671
40-44,F,GBR,9674
45-49,F,BRA,9686
40-44,F,USA,9689
45-49,F,JPN,9706
40-44,F,IRL,9721
40-44,F,AUS,9731
40-44,F,MRI,9736
45-49,F,CZE,9745
40-44,F,GBR,9763
40-44,F,USA,9773
40-44,F,POL,9777
40-44,F,IRL,9781
40-44,F,JPN,9791
40-44,F,GER,9802
40-44,F,JPN,9812
40-44,F,USA,9815
40-44,F,KEN,9818
40-44,F,GBR,9832
40-44,F,MEX,9841
40-44,F,GBR,9842
45-49,F,KEN,9844
45-49,F,ETH,9873
50-54,F,CAN,9874
50-54,F,NED,9878
40-44,F,CAN,9878
40-44,F,IRL,9882
40-44,F,ITA,9882
45-49,F,JPN,9887
40-44,F,NED,9889
40-44,F,CAN,9890
40-44,F,POL,9901
40-44,F,SUI,9909
40-44,F,GBR,9912
40-44,F,BRA,9915
50-54,F,ITA,9919
40-44,F,LAT,9922
40-44,F,GBR,9934
40-44,F,JPN,9937
40-44,F,GBR,9956
40-44,F,JPN,9958
40-44,F,ARG,9963
40-44,F,SUI,9978
40-44,F,,9982
40-44,F,AUS,9992
40-44,F,USA,9992
40-44,F,RUS,9996
40-44,F,NZL,9999
