country,latitude,longitude
AF,33.7680065,66.2385139
AL,41.000028,19.9999619
DZ,28.0000272,2.9999825
AO,-11.8775768,17.5691241
EG,26.2540493,29.2675469
AR,-34.9964963,-64.9672817
AM,40.7696272,44.6736646
AU,-24.7761086,134.755
AT,47.59397,14.12456
AZ,40.3936294,47.7872508
BH,26.1551249,50.5344606
BI,-3.426449,29.9324519
BE,50.6402809,4.6667145
BJ,9.5293472,2.2584408
BD,24.4769288,90.2934413
BT,27.549511,90.5119273
BF,12.0753083,-1.6880314
BY,53.4250605,27.6971358
BO,-17.0568696,-64.9912286
BW,-23.1681782,24.5928742
BR,-10.3333333,-53.2
BA,44.3053476,17.5961467
BG,42.6073975,25.4856617
KH,12.5433216,104.8144914
CA,61.0666922,-107.991707
CF,7.0323598,19.9981227
TD,15.6134137,19.0156172
CN,35.0000663,104.999955
CL,-31.7613365,-71.3187697
CM,4.6125522,13.1535811
CG,-0.7264327,15.6419155
CD,-2.9814344,23.8222636
KM,-12.2045176,44.2832964
CO,4.099917,-72.9088133
CR,10.2735633,-84.0739102
CU,23.0131338,-80.8328748
CV,16.0000552,-24.0083947
CZ,49.7439047,15.3381061
DJ,11.8145966,42.8453061
DM,15.4113138,-61.3653618
DO,19.0974031,-70.3028026
EC,-1.3397668,-79.3666965
GQ,1.613172,10.5170357
ER,15.9500319,37.9999668
EE,58.7523778,25.3319078
ET,10.2116702,38.6521203
FR,46.603354,1.8883335
GA,-0.8999695,11.6899699
GM,13.470062,-15.4900464
PS,31.756252446564485,34.963921366502575
GB,54.7023545,-3.2765753
GE,41.6808672,44.0287806
GH,8.0300284,-1.0800271
GW,11.815215,-15.2351044
GR,38.9953683,21.9877132
GT,15.5855545,-90.345759
GN,10.7226226,-10.7083587
HT,19.1399952,-72.3570972
HK,22.27565635,114.16141521730148
HN,15.2572432,-86.0755145
HR,45.3658443,15.6575209
HU,47.1817585,19.5060937
CI,7.9897371,-5.5679458
IN,22.3511148,78.6677428
ID,-2.4833826,117.8902853
IR,32.6475314,54.5643516
IQ,33.0955793,44.1749775
IL,30.8124247,34.8594762
IT,42.6384261,12.674297
JM,18.1850507,-77.3947693
JO,31.1667049,36.941628
JP,36.5748441,139.2394179
KZ,48.1012954,66.7780818
KE,1.4419683,38.4313975
KG,41.5089324,74.724091
KR,36.638392,127.6961188
KP,40.3736611,127.0870417
KW,29.2733964,47.4979476
LA,20.0171109,103.378253
LR,5.7499721,-9.3658524
LY,26.8234472,18.1236723
LB,33.8750629,35.843409
LK,7.5554942,80.7137847
LT,55.3500003,23.7499997
LU,49.8158683,6.1296751
LV,56.8406494,24.7537645
MG,-18.9249604,46.4416422
MR,20.2540382,-9.2399263
MK,41.6171214,21.7168387
MD,47.2879608,28.5670941
MX,23.6585116,-102.0077097
ML,16.3700359,-2.2900239
MY,4.5693754,102.2656823
MW,-13.2687204,33.9301963
ME,42.9868853,19.5180992
MN,46.8250388,103.8499736
MA,31.1728205,-7.3362482
MZ,-19.302233,34.9144977
MU,-20.2759451,57.5703566
MM,17.1750495,95.9999652
NA,-23.2335499,17.3231107
NP,28.3780464,83.9999901
NL,52.24764975,5.541246849406163
NE,17.7356214,9.3238432
NI,12.6090157,-85.2936911
NG,9.6000359,7.9999721
NO,61.1529386,8.7876653
NZ,-41.5000831,172.8344077
OM,21.0000287,57.0036901
PK,30.3308401,71.247499
PA,8.559559,-81.1308434
PY,-23.3165935,-58.1693445
PE,-6.8699697,-75.0458515
PH,12.7503486,122.7312101
PW,5.3783537,132.9102573
PL,52.215933,19.134422
PT,39.6621648,-8.1353519
QA,25.3336984,51.2295295
RO,45.9852129,24.6859225
ZA,-28.8166236,24.991639
RU,64.6863136,97.7453061
RW,-1.9646631,30.0644358
SV,13.8000382,-88.9140683
SA,25.6242618,42.3528328
SN,14.4750607,-14.4529612
SG,1.357107,103.8194992
SL,8.6400349,-11.8400269
SB,-8.7053941,159.1070693851845
SO,8.3676771,49.083416
ES,39.3260685,-4.8379791
RS,44.1534121,20.55144
VN,15.9266657,107.9650855
SS,7.8699431,29.6667897
ST,0.9713095,7.02255
SD,14.5844444,29.4917691
SK,48.7411522,19.4528646
SI,46.1199444,14.8153333
SZ,-26.5624806,31.3991317
SE,59.6749712,14.5208584
SY,34.6401861,39.0494106
TZ,-6.5247123,35.7878438
TH,14.8971921,100.83273
TJ,38.6281733,70.8156541
TM,39.3763807,59.3924609
TL,-8.7443169,126.063482
TG,8.7800265,1.0199765
TT,10.7466905,-61.0840075
TN,33.8439408,9.400138
TR,38.9597594,34.9249653
AE,24.0002488,53.9994829
UG,1.5333554,32.2166578
UA,49.4871968,31.2718321
UY,-32.8755548,-56.0201525
US,39.7837304,-100.445882
UZ,41.32373,63.9528098
VC,12.90447,-61.2765569
VE,8.0018709,-66.1109318
YE,16.3471243,47.8915271
ZM,-14.5189121,27.5589884
ZW,-18.4554963,29.7468414
