Jahr,Geschlecht,Anzahl Einwohner,Stadtbezirk mit zugeordneten Ortschaften,Familienstand,Stadtteil zus.
2023,männlich,880,StB 0 Altstadt,ledig,01 Innere Altstadt
2023,weiblich,661,StB 0 Altstadt,ledig,01 Innere Altstadt
2023,männlich,420,StB 0 Altstadt,verheiratet,01 Innere Altstadt
2023,weiblich,413,StB 0 Altstadt,verheiratet,01 Innere Altstadt
2023,männlich,28,StB 0 Altstadt,verwitwet,01 Innere Altstadt
2023,weiblich,147,StB 0 Altstadt,verwitwet,01 Innere Altstadt
2023,männlich,67,StB 0 Altstadt,geschieden,01 Innere Altstadt
2023,weiblich,91,StB 0 Altstadt,geschieden,01 Innere Altstadt
2023,männlich,2275,StB 0 Altstadt,ledig,02 Pirnaische Vorstadt
2023,weiblich,1636,StB 0 Altstadt,ledig,02 Pirnaische Vorstadt
2023,männlich,711,StB 0 Altstadt,verheiratet,02 Pirnaische Vorstadt
2023,weiblich,707,StB 0 Altstadt,verheiratet,02 Pirnaische Vorstadt
2023,männlich,86,StB 0 Altstadt,verwitwet,02 Pirnaische Vorstadt
2023,weiblich,466,StB 0 Altstadt,verwitwet,02 Pirnaische Vorstadt
2023,männlich,208,StB 0 Altstadt,geschieden,02 Pirnaische Vorstadt
2023,weiblich,326,StB 0 Altstadt,geschieden,02 Pirnaische Vorstadt
2023,männlich,3025,StB 0 Altstadt,ledig,03 Seevorstadt-Ost
2023,weiblich,2220,StB 0 Altstadt,ledig,03 Seevorstadt-Ost
2023,männlich,1072,StB 0 Altstadt,verheiratet,03 Seevorstadt-Ost
2023,weiblich,1079,StB 0 Altstadt,verheiratet,03 Seevorstadt-Ost
2023,männlich,136,StB 0 Altstadt,verwitwet,03 Seevorstadt-Ost
2023,weiblich,535,StB 0 Altstadt,verwitwet,03 Seevorstadt-Ost
2023,männlich,215,StB 0 Altstadt,geschieden,03 Seevorstadt-Ost
2023,weiblich,344,StB 0 Altstadt,geschieden,03 Seevorstadt-Ost
2023,männlich,3137,StB 0 Altstadt,ledig,04 Wilsdruffer Vs./Seevs.-West
2023,weiblich,2576,StB 0 Altstadt,ledig,04 Wilsdruffer Vs./Seevs.-West
2023,männlich,1553,StB 0 Altstadt,verheiratet,04 Wilsdruffer Vs./Seevs.-West
2023,weiblich,1525,StB 0 Altstadt,verheiratet,04 Wilsdruffer Vs./Seevs.-West
2023,männlich,149,StB 0 Altstadt,verwitwet,04 Wilsdruffer Vs./Seevs.-West
2023,weiblich,755,StB 0 Altstadt,verwitwet,04 Wilsdruffer Vs./Seevs.-West
2023,männlich,336,StB 0 Altstadt,geschieden,04 Wilsdruffer Vs./Seevs.-West
2023,weiblich,555,StB 0 Altstadt,geschieden,04 Wilsdruffer Vs./Seevs.-West
