Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+procedure_type,#indicator+procedure+name,#indicator+application_type+code,#indicator+application_type,#indicator+application_data_type,#indicator+application_data,#indicator+application_average_persons+num,#inneed+asylum_seekers+applications
2000,DEU,AUS,Germany,Australia,G,Government,V,Various,C,Cases,0,7
2000,DEU,CAN,Germany,Canada,G,Government,V,Various,P,Persons,0,13
2000,DEU,NLD,Germany,Netherlands (Kingdom of the),G,Government,V,Various,P,Persons,0,10
2000,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,27
2001,DEU,AUS,Germany,Australia,G,Government,V,Various,C,Cases,0,5
2001,DEU,CAN,Germany,Canada,G,Government,V,Various,P,Persons,0,11
2001,DEU,CHE,Germany,Switzerland,G,Government,V,Various,P,Persons,0,7
2001,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,29
2001,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,9
2002,DEU,AUS,Germany,Australia,G,Government,V,Various,P,Persons,0,5
2002,DEU,CAN,Germany,Canada,G,Government,V,Various,P,Persons,0,34
2002,DEU,NLD,Germany,Netherlands (Kingdom of the),G,Government,V,Various,P,Persons,0,5
2002,DEU,SWE,Germany,Sweden,G,Government,V,Various,P,Persons,0,6
2002,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,31
2002,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,7
2003,DEU,AUS,Germany,Australia,G,Government,V,Various,P,Persons,0,5
2003,DEU,AUT,Germany,Austria,G,Government,V,Various,P,Persons,0,5
2003,DEU,CAN,Germany,Canada,G,Government,V,Various,P,Persons,0,25
2003,DEU,SWE,Germany,Sweden,G,Government,V,Various,P,Persons,0,5
2003,DEU,THA,Germany,Thailand,U,UNHCR,V,Various,P,Persons,0,5
2003,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,15
2003,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,10
2004,DEU,AUS,Germany,Australia,G,Government,V,Various,P,Persons,0,5
2004,DEU,AUT,Germany,Austria,G,Government,V,Various,P,Persons,0,5
2004,DEU,CAN,Germany,Canada,G,Government,V,Various,P,Persons,0,20
2004,DEU,LIE,Germany,Liechtenstein,G,Government,V,Various,P,Persons,0,5
2004,DEU,CHE,Germany,Switzerland,G,Government,V,Various,P,Persons,0,5
2004,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,16
2004,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,5
2005,DEU,AUS,Germany,Australia,G,Government,V,Various,P,Persons,0,5
2005,DEU,CAN,Germany,Canada,G,Government,V,Various,P,Persons,0,28
2005,DEU,NLD,Germany,Netherlands (Kingdom of the),G,Government,V,Various,P,Persons,0,5
2005,DEU,CHE,Germany,Switzerland,G,Government,V,Various,P,Persons,0,8
2005,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,9
2005,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,8
2006,DEU,AUS,Germany,Australia,G,Government,A,Appeal,C,Cases,0,5
2006,DEU,AUS,Germany,Australia,G,Government,N,New,P,Persons,0,5
2006,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,34
2006,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,24
2006,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,8
2007,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,37
2007,DEU,USA,Germany,United States of America,G,Government,A,Appeal,P,Persons,0,20
2007,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,8
2008,DEU,AUS,Germany,Australia,G,Government,N,New,P,Persons,0,12
2008,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,38
2008,DEU,ECU,Germany,Ecuador,G,Government,NR,New and repeat,P,Persons,0,5
2008,DEU,LIE,Germany,Liechtenstein,G,Government,N,New,P,Persons,0,5
2008,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,21
2008,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,16
2009,DEU,AUS,Germany,Australia,G,Government,N,New,P,Persons,0,6
2009,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,24
2009,DEU,LIE,Germany,Liechtenstein,G,Government,N,New,P,Persons,0,5
2009,DEU,NLD,Germany,Netherlands (Kingdom of the),G,Government,N,New,P,Persons,0,5
2009,DEU,NOR,Germany,Norway,G,Government,N,New,P,Persons,0,5
2009,DEU,CHE,Germany,Switzerland,G,Government,N,New,P,Persons,0,8
2009,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,29
2009,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,6
2010,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,16
2010,DEU,NZL,Germany,New Zealand,G,Government,N,New,P,Persons,0,6
2010,DEU,CHE,Germany,Switzerland,G,Government,N,New,P,Persons,0,5
2010,DEU,CHE,Germany,Switzerland,G,Government,R,Repeat,P,Persons,0,5
2010,DEU,USA,Germany,United States of America,G,Government,A,Appeal,P,Persons,0,38
2010,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,11
2011,DEU,AUS,Germany,Australia,G,Government,N,New,P,Persons,0,5
2011,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,15
2011,DEU,JOR,Germany,Jordan,U,UNHCR,NR,New and repeat,P,Persons,0,6
2011,DEU,NZL,Germany,New Zealand,G,Government,N,New,P,Persons,0,6
2011,DEU,CHE,Germany,Switzerland,G,Government,N,New,P,Persons,0,7
2011,DEU,USA,Germany,United States of America,G,Government,A,Appeal,P,Persons,0,32
2011,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,12
2012,DEU,AUS,Germany,Australia,G,Government,A,Appeal,C,Cases,0,5
