Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Asylum seekers,Other people in need of international protection,Internally displaced persons,Stateless Persons,Others of concern to UNHCR,Host community
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+asylum_seekers,#affected+oip,#affected+idps,#affected+stateless,#affected+others,#affected+hst
1991,DEU,SWE,Germany,Sweden,5,0,0,0,0,0,0
1992,DEU,SWE,Germany,Sweden,5,0,0,0,0,0,0
1993,DEU,SWE,Germany,Sweden,8,0,0,0,0,0,0
1994,DEU,CAN,Germany,Canada,441,0,0,0,0,0,0
1994,DEU,SWE,Germany,Sweden,8,0,0,0,0,0,0
1995,DEU,CAN,Germany,Canada,376,0,0,0,0,0,0
1995,DEU,SWE,Germany,Sweden,8,0,0,0,0,0,0
1996,DEU,AUS,Germany,Australia,18,0,0,0,0,0,0
1996,DEU,CAN,Germany,Canada,390,0,0,0,0,0,0
1996,DEU,SWE,Germany,Sweden,8,0,0,0,0,0,0
1996,DEU,USA,Germany,United States of America,5,0,0,0,0,0,0
1997,DEU,AUS,Germany,Australia,27,0,0,0,0,0,0
1997,DEU,CAN,Germany,Canada,401,0,0,0,0,0,0
1997,DEU,SWE,Germany,Sweden,8,0,0,0,0,0,0
1997,DEU,USA,Germany,United States of America,7,0,0,0,0,0,0
1998,DEU,AUS,Germany,Australia,31,0,0,0,0,0,0
1998,DEU,CAN,Germany,Canada,614,0,0,0,0,0,0
1998,DEU,FRA,Germany,France,18,0,0,0,0,0,0
1998,DEU,SWE,Germany,Sweden,8,0,0,0,0,0,0
1998,DEU,CHE,Germany,Switzerland,5,0,0,0,0,0,0
1998,DEU,USA,Germany,United States of America,13,0,0,0,0,0,0
1999,DEU,AUS,Germany,Australia,32,0,0,0,0,0,0
1999,DEU,CAN,Germany,Canada,1240,0,0,0,0,0,0
1999,DEU,SWE,Germany,Sweden,8,0,0,0,0,0,0
1999,DEU,USA,Germany,United States of America,17,0,0,0,0,0,0
2000,DEU,AUS,Germany,Australia,25,0,0,0,0,0,0
2000,DEU,CAN,Germany,Canada,1125,13,0,0,0,0,0
2000,DEU,NLD,Germany,Netherlands (Kingdom of the),0,10,0,0,0,0,0
2000,DEU,SWE,Germany,Sweden,9,0,0,0,0,0,0
2000,DEU,USA,Germany,United States of America,23,34,0,0,0,0,0
2001,DEU,AUS,Germany,Australia,28,5,0,0,0,0,0
2001,DEU,BEL,Germany,Belgium,7,0,0,0,0,0,0
2001,DEU,CAN,Germany,Canada,988,11,0,0,0,0,0
2001,DEU,SWE,Germany,Sweden,5,0,0,0,0,0,0
2001,DEU,USA,Germany,United States of America,0,36,0,0,0,0,0
2002,DEU,AUS,Germany,Australia,17,0,0,0,0,0,0
2002,DEU,BEL,Germany,Belgium,7,0,0,0,0,0,0
2002,DEU,CAN,Germany,Canada,895,31,0,0,0,0,0
2002,DEU,SWE,Germany,Sweden,5,0,0,0,0,0,0
2002,DEU,USA,Germany,United States of America,0,42,0,0,0,0,0
2003,DEU,AUS,Germany,Australia,12,0,0,0,0,0,0
